"index","MID","title","year","rating","num_votes"
"430","tt2476154","Grand Masti","2013","4.4","5235"
"431","tt5235880","A Flying Jatt","2016","3.4","2834"
"432","tt0248185","Mission Kashmir","2000","6.8","5686"
"433","tt1144804","Kambakkht Ishq","2009","3.9","6041"
"434","tt2804026","Aurangzeb","2013","6.6","3582"
"435","tt0795434","Namastey London","2007","7.3","19070"
"436","tt2309764","Singham Returns","2014","5.7","6237"
"437","tt5207116","X: Past Is Present","2015","5.6","455"
"438","tt1949548","Heroine","2012","5.1","3594"
"439","tt4088588","Dhanak","2015","8.0","2812"
"440","tt0405507","Murder","2004","5.4","3243"
"441","tt3495000","Mardaani","2014","7.3","9063"
"442","tt8581230","B.A. Pass 2","2017","2.2","184"
"443","tt3019620","Titli","2014","7.6","3403"
"444","tt0248617","Yaadein...","2001","4.5","2906"
"445","tt6712014","Fukrey Returns","2017","6.5","3740"
"446","tt5943306","Freaky Ali","2016","5.0","2286"
"447","tt5752374","Shorgul","2016","5.7","138"
"448","tt2187153","Thuppakki","2012","7.9","20733"
"449","tt0109206","Bandit Queen","1994","7.6","3863"
"450","tt0470869","Neal 'N' Nikki","2005","3.3","1326"
"451","tt0432047","Sarkar","2005","7.7","13913"
"452","tt0323013","Lakshya","2004","7.9","17299"
"453","tt1183946","The Stoneman Murders","2009","7.4","2028"
"454","tt2198235","Monsoon Shootout","2013","6.4","670"
"455","tt0150992","Hum Dil De Chuke Sanam","1999","7.5","14881"
"456","tt3742284","NH10","2015","7.2","11015"
"457","tt8427036","Helicopter Eela","2018","5.0","273"
"458","tt1918886","Joker","2012","2.6","4446"
"459","tt1499201","Anjaana Anjaani","2010","5.8","5303"
"460","tt6467738","Irada","2017","6.3","937"
"461","tt0330082","Boom","2003","2.3","1236"
"462","tt2699840","John Day","2013","5.7","692"
"463","tt3836958","Shamitabh","2015","6.8","6336"
"464","tt1918965","Murder 2","2011","6.2","5615"
"465","tt6275262","Vodka Diaries","2018","5.7","790"
"466","tt3017412","Happy Ending","2014","5.4","3000"
"467","tt5764024","OK Jaanu","2017","5.1","3087"
"468","tt3794302","Pizza","2014","6.2","776"
"469","tt3209826","Patel Ki Punjabi Shaadi","2017","3.8","243"
"470","tt4949324","Mohalla Assi","2015","7.5","802"
"471","tt1101665","Shaurya: It Takes Courage to Make Right... Right","2008","7.3","3209"
"472","tt0403935","Action Jackson","2014","3.3","2746"
"473","tt5290620","Kyaa Kool Hain Hum 3","2016","1.9","3798"
"474","tt2423132","Akaash Vani","2013","6.3","1485"
"475","tt0220832","Vaastav: The Reality","1999","8.0","10671"
"476","tt4559046","Housefull 3","2016","5.2","6493"
"477","tt5775220","Noor","2017","4.0","1174"
"478","tt0249371","Asoka","2001","6.7","12189"
"479","tt2372222","Kick","2014","5.4","21132"
"480","tt0382383","Yuva","2004","7.4","7540"
"481","tt3142232","Heropanti","2014","5.4","7090"
"482","tt3678938","Humpty Sharma Ki Dulhania","2014","6.0","9482"
"483","tt6926486","Daddy","2017","6.4","1239"
"484","tt8175968","High Jack","2018","5.3","204"
"485","tt0240200","Water","2005","7.8","13515"
"486","tt0303785","Bollywood/Hollywood","2002","6.0","2383"
"487","tt4990516","Tu Hai Mera Sunday","2016","7.8","816"
"488","tt8698956","Lupt","2018","6.9","167"
"489","tt2224317","Lootera","2013","7.3","12953"
"490","tt0806088","Heyy Babyy","2007","6.1","11321"
